index_label,uri,timestamp,Laughter,ContinBellyLaugh,ContinLaughter,ContinCheering,ContinApplause,ContinExcitingMusic,ContinSnicker,entertaining
0,spotify:episode:4WVNRfAegsNY5hjalqxuX7,1020,13,0,8,0,11,20,11,0
1,spotify:episode:7r2R7rN5RRYga7gRpnl32V,180,24,0,197,81,112,180,129,0
2,spotify:episode:0O5o5C6oF3AsmAUKc3FQxf,420,78,3,1275,310,603,2712,513,1
3,spotify:episode:0O5o5C6oF3AsmAUKc3FQxf,480,78,3,1275,310,603,2712,513,1
4,spotify:episode:2R3brIPmklvCtxIN1wiIer,840,3,0,71,80,71,79,32,0
5,spotify:episode:4G5mp1XwDCR4epGO3Ocs3P,720,65,0,781,96,437,1694,178,0
6,spotify:episode:13jF3CVPOfMzUjZzqPXi2V,1920,50,0,156,39,99,172,177,1
7,spotify:episode:13jF3CVPOfMzUjZzqPXi2V,1980,50,0,156,39,99,172,177,1
8,spotify:episode:24z2vl39MfxtT8FG42ZLqO,360,48,0,1226,177,600,1363,554,0
9,spotify:episode:74V9AU72yA7m6eM1piwaSh,2940,10,0,2,9,10,39,4,1
10,spotify:episode:24z2vl39MfxtT8FG42ZLqO,540,48,0,1226,177,600,1363,554,0
11,spotify:episode:24z2vl39MfxtT8FG42ZLqO,420,48,0,1226,177,600,1363,554,0
12,spotify:episode:3Fjv9FlXK9SPMH1yKnagvD,4080,136,10,402,148,270,480,395,1
13,spotify:episode:3Fjv9FlXK9SPMH1yKnagvD,4020,136,10,402,148,270,480,395,1
14,spotify:episode:4G5mp1XwDCR4epGO3Ocs3P,780,65,0,781,96,437,1694,178,1
15,spotify:episode:7eTxFHxgDOssFdEeHO7Mao,1920,209,7,84,9,59,65,194,1
16,spotify:episode:3oXBepE1MkZEdfRsFX0Ghu,1560,50,0,36,4,13,30,70,1
17,spotify:episode:1UhsxH5Rj9A3YvljIJMDTw,1860,51,0,587,42,320,1341,174,1
18,spotify:episode:4r1NnmS8QZP0W7aZSeRZ1C,1260,31,0,30,8,48,103,33,0
19,spotify:episode:1UhsxH5Rj9A3YvljIJMDTw,1800,51,0,587,42,320,1341,174,1
20,spotify:episode:2R3brIPmklvCtxIN1wiIer,780,3,0,71,80,71,79,32,0
21,spotify:episode:3DmGNaVi6pCGd22pjb8lyG,1380,197,23,2167,257,830,1819,914,1
22,spotify:episode:5rHcphhGQTYfLS55cO8prC,2520,4,0,214,191,204,303,127,0
23,spotify:episode:5GXQlUcPO9w0l0abhvmAwt,60,0,0,7,0,3,22,9,0
24,spotify:episode:6ZBuXBOHruSOznfJM5YaC7,1020,31,0,8,1,3,11,3,0
25,spotify:episode:0aEq0nR5fptBVP8X9p07Kx,2700,136,0,255,157,272,387,219,1
26,spotify:episode:0wkHHz206yki1wHLFNYW9m,1500,36,0,43,7,19,70,39,1
27,spotify:episode:5rBZA18NdpVqOp4JXVP6eg,600,27,0,282,54,143,1263,137,1
28,spotify:episode:7e7wtc96bljbIinOr8cH6W,540,413,126,933,129,516,648,806,1
29,spotify:episode:7zxyUdsuL57eQCAocxvH76,2520,1,0,19,1,13,35,23,0
30,spotify:episode:0pvUWC5nxUl1Kwwv4tDfYH,1800,92,13,2507,287,917,2529,1210,1
31,spotify:episode:1fnMcUn86NI8SOIo9amBrq,300,63,0,126,38,100,246,175,0
32,spotify:episode:1m763ylKFGZHRgZ7XrqVnK,3480,21,0,256,61,158,1121,66,1
33,spotify:episode:3HzUFDAZJPanCMNDbxAdeT,720,40,0,508,82,300,1236,172,0
34,spotify:episode:3XiAZqWlIqkDiggra87G8C,2040,16,0,62,14,24,220,24,0
35,spotify:episode:5PMn83p6osTcWLwREE0ntT,1680,19,0,6,0,3,5,12,0
36,spotify:episode:5XMuxTUy6DTSFhaFsSEeqg,1500,43,0,1346,194,1025,1349,499,0
37,spotify:episode:1uIU083qv4yYVyErbFQWzM,2220,50,0,57,9,55,187,53,0
38,spotify:episode:3foOZkKiR93FWqbTOgcv8w,480,1,0,47,11,48,479,32,0
39,spotify:episode:5JZf4QxSll6xqwSBSBq2iA,540,1,0,0,0,0,2,0,0
40,spotify:episode:1nEu9uHBRthWtPip0Xigld,1500,15,0,180,79,167,606,101,1
41,spotify:episode:2jtdbFsMOTgWAvg8knaRyI,3600,63,0,31,20,18,97,34,0
42,spotify:episode:68IxanAkfGi9pRLA9fUjjj,540,5,0,11,2,11,31,15,0
43,spotify:episode:6niO1mcgvWPOkgFFwIeP31,2640,124,3,67,16,66,50,130,0
44,spotify:episode:0aEq0nR5fptBVP8X9p07Kx,2640,136,0,255,157,272,387,219,1
45,spotify:episode:1hSkBfLWPUm12cGgs6nm13,3120,11,0,7,13,21,85,6,1
46,spotify:episode:4VNCvcziUvQHXbNaEuMCyu,300,32,0,301,22,90,279,145,0
47,spotify:episode:4diC1fUbSyx76OCOg0U3n6,300,4,0,211,20,88,1369,26,1
48,spotify:episode:5Oa1e2BgrcwYfFcn2WVp8J,240,14,0,212,79,127,192,159,0
49,spotify:episode:68IxanAkfGi9pRLA9fUjjj,780,5,0,11,2,11,31,15,0
50,spotify:episode:24z2vl39MfxtT8FG42ZLqO,600,48,0,1226,177,600,1363,554,0
51,spotify:episode:2JFfi2f5j24NaCmBMeHGMG,1380,118,1,117,112,165,253,172,1
52,spotify:episode:44VIrpgnHBxZYcxfiUmoZK,1560,4,0,13,1,3,81,3,0
53,spotify:episode:7ErWsLkwZrq2AGrT3KAcSb,660,25,0,124,45,107,217,87,1
54,spotify:episode:6QpiEnKqPFUHbEHzFU9FIC,1740,215,17,796,56,503,551,495,1
55,spotify:episode:4WVNRfAegsNY5hjalqxuX7,960,13,0,8,0,11,20,11,0
56,spotify:episode:5rHcphhGQTYfLS55cO8prC,2580,4,0,214,191,204,303,127,0
57,spotify:episode:12upqGWu801nz2zZB8fDdM,1020,6,1,1194,614,867,2367,381,0
58,spotify:episode:5zUFUbdbubeG3nP1ZHR3YH,420,28,0,74,56,78,223,82,1
59,spotify:episode:6QpiEnKqPFUHbEHzFU9FIC,1800,215,17,796,56,503,551,495,1
60,spotify:episode:3F9eNb8mM0rgSdHL8cDrrA,1140,50,0,71,9,34,116,31,0
61,spotify:episode:0tfBzI0QesKwa8xyVQJ0aF,180,37,0,58,14,65,108,55,1
62,spotify:episode:0eQ3qvDF6Ir55dGcquLiZ1,3480,227,63,2340,410,1121,2569,1434,0
63,spotify:episode:0eQ3qvDF6Ir55dGcquLiZ1,3540,227,63,2340,410,1121,2569,1434,0
64,spotify:episode:3DmGNaVi6pCGd22pjb8lyG,1440,197,23,2167,257,830,1819,914,0
65,spotify:episode:5fgHHzwjW8G2WsNVB0kQt9,900,112,8,1271,662,774,1905,960,0
66,spotify:episode:4r1NnmS8QZP0W7aZSeRZ1C,1200,31,0,30,8,48,103,33,1
67,spotify:episode:18qrYd87YRAWpCVWYfcUHG,600,150,11,2092,605,1022,2689,1148,1
68,spotify:episode:24z2vl39MfxtT8FG42ZLqO,480,48,0,1226,177,600,1363,554,0
69,spotify:episode:5fgHHzwjW8G2WsNVB0kQt9,960,112,8,1271,662,774,1905,960,0
70,spotify:episode:02mTkWIA5LTdfZkl5wSs5i,780,234,9,453,250,459,941,368,1
71,spotify:episode:51RGwD5p3hH8HQsDneQanl,1620,14,0,18,9,7,108,5,0
72,spotify:episode:6DGInA9ptKzIuPJHzweqRW,780,93,3,507,25,103,500,269,1
73,spotify:episode:3gHpvHZeWuKVnbNx3Ijdhb,1020,22,0,201,14,88,304,44,0
74,spotify:episode:2DtdNOrD044do0Syu7dUe1,60,187,31,295,119,236,318,284,0
75,spotify:episode:5WG32erL5krrR6Mni0JBO7,2940,395,18,929,347,638,898,906,1
76,spotify:episode:3W6BPLyys2hF0BcMhE24dx,2940,385,72,2598,233,937,2490,1661,0
77,spotify:episode:4ko99h3dTURJRVdM7Gv4dP,2940,139,6,166,109,175,358,272,1
78,spotify:episode:2gzFZlwLOT1hoo9HJZLBsK,540,219,31,879,243,485,1015,693,0
79,spotify:episode:4oZwLKD8M1opBg7SSjCgxo,3000,174,0,736,277,503,1765,271,0
80,spotify:episode:3HzUFDAZJPanCMNDbxAdeT,1620,40,0,508,82,300,1236,172,1
81,spotify:episode:5ooB9eyGOzTJxpt9HjkIWI,1680,63,3,365,124,222,851,154,0
82,spotify:episode:1X1ZDIMW8MJ4TKI9M8cwvT,300,0,0,4,1,3,5,1,0
83,spotify:episode:3oB28fsesZBV5NBqv1acKC,1080,35,3,4230,1691,2551,4294,1428,1
84,spotify:episode:04b0r5tOL3BMAHTWYcgxCT,840,430,98,805,129,508,759,773,0
85,spotify:episode:3W6BPLyys2hF0BcMhE24dx,3000,385,72,2598,233,937,2490,1661,1
86,spotify:episode:4ANCG84sdqRGLtrdMlQvq2,4320,24,0,49,59,54,244,49,0
87,spotify:episode:79p0ahBjqooePc2pKCwdbw,1500,57,1,115,10,65,193,128,0
88,spotify:episode:6DQOIaRL3HskjDCFqKnsSd,2040,93,2,4045,767,1945,4624,1616,0
89,spotify:episode:0wkHHz206yki1wHLFNYW9m,1260,36,0,43,7,19,70,39,0
90,spotify:episode:0wkHHz206yki1wHLFNYW9m,1560,36,0,43,7,19,70,39,0
91,spotify:episode:1hSkBfLWPUm12cGgs6nm13,3060,11,0,7,13,21,85,6,1
92,spotify:episode:2gzFZlwLOT1hoo9HJZLBsK,480,219,31,879,243,485,1015,693,0
93,spotify:episode:5PMn83p6osTcWLwREE0ntT,1620,19,0,6,0,3,5,12,0
94,spotify:episode:1uIU083qv4yYVyErbFQWzM,60,50,0,57,9,55,187,53,1
95,spotify:episode:3Pc5urZTVrsACBKrvWQkAS,840,105,0,664,490,490,840,401,0
96,spotify:episode:5WG32erL5krrR6Mni0JBO7,2880,395,18,929,347,638,898,906,0
97,spotify:episode:7DpqDxFdqSOXTmQPl37YXK,540,61,16,213,42,123,249,170,0
98,spotify:episode:0aEq0nR5fptBVP8X9p07Kx,840,136,0,255,157,272,387,219,0
99,spotify:episode:3HzUFDAZJPanCMNDbxAdeT,1800,40,0,508,82,300,1236,172,1
100,spotify:episode:51RGwD5p3hH8HQsDneQanl,1440,14,0,18,9,7,108,5,0
101,spotify:episode:5dcwUoaLTQShe8hKZyNJl0,480,19,0,120,11,52,444,53,0
102,spotify:episode:57LUbyklSeEyEgmMTnsGYX,1680,5,0,966,110,292,1713,47,0
103,spotify:episode:51RGwD5p3hH8HQsDneQanl,1560,14,0,18,9,7,108,5,1
104,spotify:episode:0tfBzI0QesKwa8xyVQJ0aF,240,37,0,58,14,65,108,55,0
105,spotify:episode:7F90JqqYskSAhoWNZrVPRz,900,36,0,83,10,32,137,68,1
106,spotify:episode:6ZBuXBOHruSOznfJM5YaC7,1080,31,0,8,1,3,11,3,0
107,spotify:episode:2zhF7asSooFgoSTGIcL9OR,180,34,1,98,71,88,175,71,1
108,spotify:episode:46Hj2kE9GjDNBR8feOElEw,1020,105,16,860,103,246,695,529,1
109,spotify:episode:68Gn7z41dFCVoFpvlLkXxb,2160,23,0,2549,257,880,3059,575,1
